main_id,ra,dec,plx_value
"* e Eri c",49.9818788009275,-43.069781996785,165.5242
"* e Eri d",49.9818788009275,-43.069781996785,165.5242
"* e Eri",49.9818788009275,-43.069781996785,165.5242
"V* QY Aur",107.50763989947708,38.52946847313889,165.2147
"* del Pav",302.1817036316884,-66.18206743589695,163.9544
"SIMP J013656.5+093347.3",24.23566892492917,9.563142212769169,163.4478
"2MASSI J0937347+293142",144.395332,29.528053,163.39
"HD 191849",303.4724843743875,-45.16401959745389,162.2171
"BD+19  5116",352.96741241175175,19.937264025562538,161.76
"WISE J220905.73+271143.9",332.2700207083333,27.19948402777778,161.7
"HD 152751",253.86982320416666,-8.336329958055554,161.41
"EGGR 372",267.03330341493705,70.87664501391278,160.9952
"NAME HN Lib b",218.57004859310788,-12.519559582093887,159.9225
"BD-11  3759",218.57004859310788,-12.519559582093887,159.9225
"BD+19  5116B",352.9690639074758,19.93722361842083,159.9085
"GJ 896 Ab",352.9673910466166,19.937258443956946,159.6634
"BD+19  5116A",352.9673910466166,19.937258443956946,159.6634
"BD-07  4003b",229.86177891146036,-7.722274860407221,158.7183
"BD-07  4003c",229.86177891146036,-7.722274860407221,158.7183
"BD-07  4003e",229.86177891146036,-7.722274860407221,158.7183
"BD-07  4003f",229.86177891146036,-7.722274860407221,158.7183
"BD-07  4003g",229.86177891146036,-7.722274860407221,158.7183
"BD-07  4003d",229.86177891146036,-7.722274860407221,158.7183
"BD-07  4003",229.86177891146036,-7.722274860407221,158.7183
"WISE J140518.39+553421.3",211.33853904166665,55.57191069444445,158.2
"HD  79210",138.59489526034582,52.686608750931384,157.8879
"HD  79211b",138.60284519441623,52.686361797752774,157.8825
"HD  79211",138.60284519441623,52.686361797752774,157.8825
"LP  368-128",135.09810882668793,21.834694814169445,157.2686
"2MASS J15031961+2525196",225.83171209743372,25.422165466394166,155.7758
"LP  944-20",54.89688479175417,-35.428789443425835,155.5982
"EGGR  45",88.78971036312959,-4.168629261394723,155.2373
"V* GL Vir",184.74749886977372,11.126048121199167,154.6999
"NAME G 202-48b",246.35259599522124,54.304101518233324,154.3503
"G 202-48",246.35259599522124,54.304101518233324,154.3503
"VB  8",253.89689890597333,-8.39465363140972,153.9659
"Wolf  629",253.85509268901828,-8.322582491435277,153.8754
"L  100-115",145.69309564629958,-68.88500248283722,153.7593
"HD 219134e",348.3207290015033,57.16835661767193,152.864
"HD 219134f",348.3207290015033,57.16835661767193,152.864
"HD 219134g",348.3207290015033,57.16835661767193,152.864
"HD 219134h",348.3207290015033,57.16835661767193,152.864
"HD 219134b",348.3207290015033,57.16835661767193,152.864
"HD 219134c",348.3207290015033,57.16835661767193,152.864
"HD 219134",348.3207290015033,57.16835661767194,152.864
"HD 219134d",348.3207290015033,57.16835661767193,152.864
"WISEA J082507.37+280548.2",126.28085112499996,28.09746211111111,152.6
"WISE J041022.71+150248.4",62.59198383333333,15.053051111111111,151.3
"L  471-42",189.70457672061582,-38.381575117324445,150.0781
"* ksi Boo",222.8474163722046,19.100472048411426,148.98
"NAME Scholz's star",110.013557,-8.780528999999998,148.8
"Ross  104",165.01773753095082,22.832956947207222,148.1986
"* ksi Boo B",222.84601533759,19.10191326331,148.1793
"* ksi Boo A",222.84745194146,19.10044994484,148.0695
"Ross  619",122.98987155390793,8.773042468212774,147.7218
"Ross  775",322.4033832271551,17.643295969293057,147.4958
"G  41-14",134.73467,8.4739078,146.97
"2MASS J19284155+2356016",292.17295430678786,23.93393621721361,146.4067
"HD 156384",259.7381867998679,-34.98976154533223,146.29
"NAME BD-17 588Ab",45.46414028376999,-16.59334199403472,145.6922
"NAME BD-17 588Ac",45.46414028376999,-16.59334199403472,145.6922
"BD-17   588A",45.46414028376999,-16.59334199403472,145.6922
"NAME LTT 1445Ad",45.46414028376999,-16.59334199403472,145.6922
"HD 216899",344.14501938785963,16.553432121274447,145.6234
"CWISE J105512.11+544328.3",163.81161604166667,54.72554863888889,145.0
